"Symbol","Trade DATE","NOCP"
"AMD","5/13/2019","26.240000000000"
"AMD","5/10/2019","27.960000000000"
"AMD","5/9/2019","27.210000000000"
"AMD","5/8/2019","27.090000000000"
"AMD","5/7/2019","26.660000000000"
"AMD","5/6/2019","27.420000000000"
"AMD","5/3/2019","28.220000000000"
"AMD","5/2/2019","28.290000000000"
"AMD","5/1/2019","26.810000000000"
"AMD","4/30/2019","27.630000000000"
"AMD","4/29/2019","27.690000000000"
"AMD","4/26/2019","27.880000000000"
"AMD","4/25/2019","27.660000000000"
"AMD","4/24/2019","28.460000000000"
"AMD","4/23/2019","27.970000000000"
"AMD","4/22/2019","28.180000000000"
"AMD","4/18/2019","27.680000000000"
"AMD","4/17/2019","27.490000000000"
"AMD","4/16/2019","27.930000000000"
"AMD","4/15/2019","27.330000000000"
"AMD","4/12/2019","27.850000000000"
"AMD","4/11/2019","27.790000000000"
"AMD","4/10/2019","27.830000000000"
"AMD","4/9/2019","27.240000000000"
"AMD","4/8/2019","28.530000000000"
"AMD","4/5/2019","28.980000000000"
"AMD","4/4/2019","29.090000000000"
"AMD","4/3/2019","29.020000000000"
"AMD","4/2/2019","26.750000000000"
"AMD","4/1/2019","26.360000000000"
"AMD","3/29/2019","25.520000000000"
"AMD","3/28/2019","25.060000000000"
"AMD","3/27/2019","24.890000000000"
"AMD","3/26/2019","25.690000000000"
"AMD","3/25/2019","25.970000000000"
"AMD","3/22/2019","26.370000000000"
"AMD","3/21/2019","27.890000000000"
"AMD","3/20/2019","25.700000000000"
"AMD","3/19/2019","26.000000000000"
"AMD","3/18/2019","23.250000000000"
"AMD","3/15/2019","23.290000000000"
"AMD","3/14/2019","22.820000000000"
"AMD","3/13/2019","23.380000000000"
"AMD","3/12/2019","23.490000000000"
"AMD","3/11/2019","22.960000000000"
"AMD","3/8/2019","22.010000000000"
"AMD","3/7/2019","22.080000000000"
"AMD","3/6/2019","22.410000000000"
"AMD","3/5/2019","23.500000000000"
"AMD","3/4/2019","23.370000000000"
"AMD","3/1/2019","23.680000000000"
"AMD","2/28/2019","23.530000000000"
"AMD","2/27/2019","23.480000000000"
"AMD","2/26/2019","24.210000000000"
"AMD","2/25/2019","24.710000000000"
"AMD","2/22/2019","24.360000000000"
"AMD","2/21/2019","23.920000000000"
"AMD","2/20/2019","23.950000000000"
"AMD","2/19/2019","23.950000000000"
"AMD","2/15/2019","23.680000000000"
"AMD","2/14/2019","23.130000000000"
"AMD","2/13/2019","22.850000000000"
"AMD","2/12/2019","22.820000000000"
"AMD","2/11/2019","22.960000000000"
"AMD","2/8/2019","23.050000000000"
"AMD","2/7/2019","22.670000000000"
"AMD","2/6/2019","23.260000000000"
"AMD","2/5/2019","23.310000000000"
"AMD","2/4/2019","24.130000000000"
"AMD","2/1/2019","24.510000000000"
"AMD","1/31/2019","24.410000000000"
"AMD","1/30/2019","23.090000000000"
"AMD","1/29/2019","19.250000000000"
"AMD","1/28/2019","20.180000000000"
"AMD","1/25/2019","21.930000000000"
"AMD","1/24/2019","20.850000000000"
"AMD","1/23/2019","19.800000000000"
"AMD","1/22/2019","19.760000000000"
"AMD","1/18/2019","20.770000000000"
"AMD","1/17/2019","20.250000000000"
"AMD","1/16/2019","19.730000000000"
"AMD","1/15/2019","20.380000000000"
"AMD","1/14/2019","20.230000000000"
"AMD","1/11/2019","20.270000000000"
"AMD","1/10/2019","19.740000000000"
"AMD","1/9/2019","20.190000000000"
"AMD","1/8/2019","20.750000000000"
"AMD","1/7/2019","20.570000000000"
"AMD","1/4/2019","19.000000000000"
"AMD","1/3/2019","17.050000000000"
